district,year,cases_total,cases_imported,cases_indigenous,notes,source_url
Tashi Yangtse,2010,,,,,
Tashi Yangtse,2011,,,,,
Tashi Yangtse,2012,,,,,
Tashi Yangtse,2013,,,,,
Tashi Yangtse,2014,,,,,
Tashi Yangtse,2015,,,,,
Tashi Yangtse,2016,,,,,
Tashi Yangtse,2017,,,,,
Tashi Yangtse,2018,,,,,
Tashi Yangtse,2019,,,,,
Tashi Yangtse,2020,,,,,
Tashi Yangtse,2021,,,,,
Tashi Yangtse,2022,,,,,
Tashi Yangtse,2023,,,,,
Tashi Yangtse,2024,,,,,
Lhuntshi,2010,,,,,
Lhuntshi,2011,,,,,
Lhuntshi,2012,,,,,
Lhuntshi,2013,,,,,
Lhuntshi,2014,,,,,
Lhuntshi,2015,,,,,
Lhuntshi,2016,,,,,
Lhuntshi,2017,,,,,
Lhuntshi,2018,,,,,
Lhuntshi,2019,,,,,
Lhuntshi,2020,,,,,
Lhuntshi,2021,,,,,
Lhuntshi,2022,,,,,
Lhuntshi,2023,,,,,
Lhuntshi,2024,,,,,
Bumthang,2010,,,,,
Bumthang,2011,,,,,
Bumthang,2012,,,,,
Bumthang,2013,,,,,
Bumthang,2014,,,,,
Bumthang,2015,,,,,
Bumthang,2016,,,,,
Bumthang,2017,,,,,
Bumthang,2018,,,,,
Bumthang,2019,,,,,
Bumthang,2020,,,,,
Bumthang,2021,,,,,
Bumthang,2022,,,,,
Bumthang,2023,,,,,
Bumthang,2024,,,,,
Ha,2010,,,,,
Ha,2011,,,,,
Ha,2012,,,,,
Ha,2013,,,,,
Ha,2014,,,,,
Ha,2015,,,,,
Ha,2016,,,,,
Ha,2017,,,,,
Ha,2018,,,,,
Ha,2019,,,,,
Ha,2020,,,,,
Ha,2021,,,,,
Ha,2022,,,,,
Ha,2023,,,,,
Ha,2024,,,,,
Samchi,2010,,,,,
Samchi,2011,,,,,
Samchi,2012,,,,,
Samchi,2013,,,,,
Samchi,2014,,,,,
Samchi,2015,,,,,
Samchi,2016,,,,,
Samchi,2017,,,,,
Samchi,2018,,,,,
Samchi,2019,,,,,
Samchi,2020,,,,,
Samchi,2021,,,,,
Samchi,2022,,,,,
Samchi,2023,,,,,
Samchi,2024,,,,,
Chhukha,2010,,,,,
Chhukha,2011,,,,,
Chhukha,2012,,,,,
Chhukha,2013,,,,,
Chhukha,2014,,,,,
Chhukha,2015,,,,,
Chhukha,2016,,,,,
Chhukha,2017,,,,,
Chhukha,2018,,,,,
Chhukha,2019,,,,,
Chhukha,2020,,,,,
Chhukha,2021,,,,,
Chhukha,2022,,,,,
Chhukha,2023,,,,,
Chhukha,2024,,,,,
Geylegphug,2010,,,,,
Geylegphug,2011,,,,,
Geylegphug,2012,,,,,
Geylegphug,2013,,,,,
Geylegphug,2014,,,,,
Geylegphug,2015,,,,,
Geylegphug,2016,,,,,
Geylegphug,2017,,,,,
Geylegphug,2018,,,,,
Geylegphug,2019,,,,,
Geylegphug,2020,,,,,
Geylegphug,2021,,,,,
Geylegphug,2022,,,,,
Geylegphug,2023,,,,,
Geylegphug,2024,,,,,
Shemgang,2010,,,,,
Shemgang,2011,,,,,
Shemgang,2012,,,,,
Shemgang,2013,,,,,
Shemgang,2014,,,,,
Shemgang,2015,,,,,
Shemgang,2016,,,,,
Shemgang,2017,,,,,
Shemgang,2018,,,,,
Shemgang,2019,,,,,
Shemgang,2020,,,,,
Shemgang,2021,,,,,
Shemgang,2022,,,,,
Shemgang,2023,,,,,
Shemgang,2024,,,,,
Samdrup Jongkhar,2010,,,,,
Samdrup Jongkhar,2011,,,,,
